,RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,PREÇO COMPRA,MODELIDADE DE COMPRA,FORNECEDOR (B BRANCA),DATA COLETA,CIDADE,COD_CIDADE,ESTADO,COD_ESTADO,REGIÂO_ESTADO
7,ALG DERIVADOS DE PETRÓLEO LTDA.,"RODOVIA BA 093 KM 11,5, SN",Palmares,RAIZEN,3.299,2.685,CIF,-,17/08/2020,simoes filho,1047,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
8,GIL & SA COMERCIO DE COMBUSTIVEIS E SERVICOS LTDA - ME,"AVENIDA ROCHA, 88 BA 093, KM 10",Simoes Filho,IPIRANGA,3.47,-,-,-,17/08/2020,simoes filho,1047,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
0,AUTO POSTO DE COMBUSTIVEIS IDEAL LTDA,"AVENIDA PADRE ANCHIETA, 368",Sao Lourenco,BRANCA,3.09,2.679,FOB,PETROSERRA,17/08/2020,teixeira de freitas,1078,Bahia,BA,Centro Subregional A (3A)
1,POSTO SEGURO II - DERIVADOS DE PETRÓLEO LTDA.,"AVENIDA PRESIDENTE GETULIO VARGAS, 6247",Jardim Liberdade,BRANCA,3.239,-,-,-,17/08/2020,teixeira de freitas,1078,Bahia,BA,Centro Subregional A (3A)
2,AUTO POSTO CARAIPE - EIRELI,"AVENIDA SAO PAULO, 150",Jardim Caraipe,BRANCA,3.2489999999999997,-,-,-,17/08/2020,teixeira de freitas,1078,Bahia,BA,Centro Subregional A (3A)
3,AUTO POSTO SKALLA DERIVADOS DE PETROLEO EIRELI,"AVENIDA PRESIDENTE GETULIO VARGAS, 1793 TERREO",Monte Castelo,BRANCA,3.2889999999999997,2.661,FOB,PETROSERRA,17/08/2020,teixeira de freitas,1078,Bahia,BA,Centro Subregional A (3A)
4,OLIVEIRA CUNHA COMERCIO DE DERIVADOS DE PETROLEO LTDA,"AVENIDA PAULO SOUTO, 1270 JARDIM PLANALTO",Vila Caraipe,BRANCA,3.39,-,-,-,17/08/2020,teixeira de freitas,1078,Bahia,BA,Centro Subregional A (3A)
5,AUTO POSTO GAIVOTA LTDA.,"RODOVIA BR 101, 150",Sao Jose,RAIZEN,3.3989999999999996,-,-,-,17/08/2020,teixeira de freitas,1078,Bahia,BA,Centro Subregional A (3A)
6,AUTO POSTO PIONEIRO LTDA,"AVENIDA PRES. GETULIO VARGAS, 4881 KM 860",Pioneiro,RAIZEN,3.3989999999999996,-,-,-,17/08/2020,teixeira de freitas,1078,Bahia,BA,Centro Subregional A (3A)
7,POMAL POSTO MALACARNE LTDA,"RODOVIA BR 101, S/N KM 884",Sede,PETROBRAS DISTRIBUIDORA S.A.,3.3989999999999996,-,-,-,17/08/2020,teixeira de freitas,1078,Bahia,BA,Centro Subregional A (3A)
0,"POSTO AGUA MINERAL, COMBUSTIVEIS E LUBRIFICANTES LTDA","RUA RODOVIA BR 101, SN KM 310",Rodovia,RAIZEN,2.99,-,-,-,17/08/2020,valenca,1102,Bahia,BA,Centro Subregional B (3B)
1,JOSEPAL COMERCIAL DE COMBUSTIVEIS LTDA,"BR 101 KM 305, SN",Entronc Valenca,PETROBRAS DISTRIBUIDORA S.A.,2.99,2.784,CIF,-,17/08/2020,valenca,1102,Bahia,BA,Centro Subregional B (3B)
2,POSTO DE COMBUSTIVEIS PRAIA DE GUAIBIM LTDA - ME,"RODOVIA BA-887 KM 10, S/N",Guaibim,BRANCA,3.3689999999999998,2.710,CIF,LARCO,17/08/2020,valenca,1102,Bahia,BA,Centro Subregional B (3B)
3,ORGANIZACAO GUAIBIM LTDA,"RODOVIA BA-001 ESTRADA VALENCA-TAPEROA, S/N",Aguazinha,BRANCA,3.38,2.644,CIF,PETROBAHIA,17/08/2020,valenca,1102,Bahia,BA,Centro Subregional B (3B)
4,IDVALDO MONTEIRO & FILHOS LTDA,"RUA DA AGUAZINHA, 153",Centro,LARCO,3.38,-,-,-,17/08/2020,valenca,1102,Bahia,BA,Centro Subregional B (3B)
5,PETRO UNA COMERCIAL LTDA,"RUA ULISSES MELGACO PALMA, 21",Graca,BRANCA,3.389,2.653,CIF,-,17/08/2020,valenca,1102,Bahia,BA,Centro Subregional B (3B)
6,MAGGRI COMERCIO E REPRESENTACOES LTDA,"AVENIDA ANTONIO CARLOS MAGALHAES, S/N",Sao Felix,BRANCA,3.389,2.653,CIF,-,17/08/2020,valenca,1102,Bahia,BA,Centro Subregional B (3B)
7,ORGANIZACAO GUAIBIM LTDA,"AVENIDA ANTONIO CARLOS MAGALHAES, 500",São Felix,BRANCA,3.39,2.644,CIF,PETROBAHIA,17/08/2020,valenca,1102,Bahia,BA,Centro Subregional B (3B)
8,AZULAO COMERCIO DE COMBUSTIVEIS EIRELI,"RODOVIA BA 001, S/N KM 0(ZERO)",Trecho Val/taperoa,BRANCA,3.4,-,-,-,17/08/2020,valenca,1102,Bahia,BA,Centro Subregional B (3B)
0,POSTO SURPRESA COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA JURACY MAGALHAES, 1841 0",Jardim Magalhães,IPIRANGA,3.35,-,-,-,17/08/2020,vitoria da conquista,1116,Bahia,BA,Capital Regional B (2B)
1,COMERCIO DE COMBUSTIVEIS CONQUISTA LTDA,"AVENIDA PRESIDENTE VARGAS, 387",Alto Maron,BRANCA,3.35,-,-,-,17/08/2020,vitoria da conquista,1116,Bahia,BA,Capital Regional B (2B)
2,PASSARELLA COMERCIO DE DERIVADOS DE COMBUSTIVEIS EIRELI,"AVENIDA FREI BENJAMIM, 925 0",Patagônia,BRANCA,3.35,2.783,CIF,PETROBRAS DISTRIBUIDORA S.A.,17/08/2020,vitoria da conquista,1116,Bahia,BA,Capital Regional B (2B)
3,POSTO BELO JARDIM LTDA,"RODOVIA BR 116, S/N KM 836 + 720 MTS",Patagônia,BRANCA,3.35,-,-,-,17/08/2020,vitoria da conquista,1116,Bahia,BA,Capital Regional B (2B)
4,BARBOSA TORRES COMERCIO DE DERIVADOS DE PETROLEO LTDA,"AVENIDA PRESIDENTE DUTRA, 3326",Ibirapuera,BRANCA,3.35,-,-,-,17/08/2020,vitoria da conquista,1116,Bahia,BA,Capital Regional B (2B)
5,COMERCIO DE COMBUSTIVEIS CASTRO & LIMA LTDA,"AVENIDA LUIZ EDUARDO MAGALHAES, 625",Boa Vista,BRANCA,3.36,-,-,-,17/08/2020,vitoria da conquista,1116,Bahia,BA,Capital Regional B (2B)
6,AUTO POSTO PANTANAL LTDA,"AVENIDA OLIVIA FLORES, 1160",Candeias,BRANCA,3.3689999999999998,-,-,-,17/08/2020,vitoria da conquista,1116,Bahia,BA,Capital Regional B (2B)
7,COMERCIO DE COMBUSTIVEIS PANTANAL LTDA,"AVENIDA VIVALDO MENDES FERRAZ, 505",Centro,BRANCA,3.3689999999999998,-,-,-,17/08/2020,vitoria da conquista,1116,Bahia,BA,Capital Regional B (2B)
8,COMERCIO DE COMBUSTIVEIS SAO FELIPE LTDA,"RUA CARIOCA, 05",Centro,RAIZEN,3.39,-,-,-,17/08/2020,vitoria da conquista,1116,Bahia,BA,Capital Regional B (2B)
9,PASSARELLA COMERCIO DE DERIVADOS DE COMBUSTIVEIS EIRELI,"AVENIDA PRESIDENTE DUTRA, 2626",Vitória da Conquista,RAIZEN,3.3989999999999996,-,-,-,17/08/2020,vitoria da conquista,1116,Bahia,BA,Capital Regional B (2B)
